Price,year,month,dayofmonth,quarter,dayofyear,weekofyear,dayofweek,c_DBSCAN,c_BIRCH,pca1,pca2,diff1,diff2,d_m3,d_m12,exp_0_05,exp_0_03,exp_0_08
272.057,2001,5,31,2,151,22,3,0,0,-0.6911263546218499,0.09133900784222254,11.307000160217285,10.052000045776367,265.3599999999996,270.6697500000001,286.5819010700254,303.27325989763654,276.63468449087634
270.738,2001,6,30,2,181,26,5,0,0,-0.4807752971590411,-1.0767356283028424,-1.319000005722046,1.2039999961853027,267.84833333333296,269.4505833333334,285.7897060165241,302.2972021007074,276.16294973160626
267.707,2001,7,31,3,212,31,1,1,2,0.6088974845489461,1.0100166720313695,-3.0309998989105225,-14.338000297546387,270.16733333333303,268.24683333333337,284.8855707156979,301.2594960376862,275.48647375307775
272.657,2001,8,31,3,243,35,4,1,2,1.0392664195981605,-0.4362582527565767,4.949999809265137,6.269000053405762,270.36733333333297,268.09133333333335,284.274142179913,300.40142115655556,275.2601158528315
282.478,2001,9,30,3,273,39,6,1,2,1.2496174770609692,-1.604332888901642,9.821000099182129,12.85200023651123,274.2806666666663,268.8248333333334,284.1843350709173,299.86371852185886,275.837546584605
283.322,2001,10,31,4,304,44,2,1,2,2.339290258768956,0.48241941143257033,0.843999981880188,-4.105999946594238,279.4856666666663,269.90125000000006,284.14121831737145,299.3674669662031,276.4363028578366
276.248,2001,11,30,4,334,48,4,1,2,2.5496413162317646,-0.685655224712495,-7.073999881744385,-16.895000457763672,280.6826666666663,270.75616666666673,283.7465574015029,298.673882957217,276.4212386292097
275.992,2001,12,31,4,365,1,0,1,2,1.6479962764772305,1.877669345163985,-0.25600001215934753,-1.100000023841858,278.5206666666663,271.0978333333334,283.3588295314278,297.9934264685005,276.38689953887297
281.764,2002,1,31,1,31,5,3,0,0,-2.8197810680739153,0.14880693202582268,5.771999835968018,12.845999717712402,278.00133333333287,272.4170000000001,283.2790880548564,297.5065436744455,276.81706757576313
295.683,2002,2,28,1,59,9,3,0,0,-3.0494657657839173,-0.4628671268334799,13.918999671936035,14.174999237060547,284.47966666666616,275.22241666666673,283.8992836521136,297.4518373642121,278.3263421697021
294.353,2002,3,31,1,90,13,6,0,0,-1.9882696801643158,-1.3213792130600026,-1.3300000429153442,-7.101999759674072,290.5999999999995,277.8124166666667,284.42196946950787,297.3588722432857,279.60847479612596
302.862,2002,4,30,2,120,18,1,0,0,-1.3288904928995298,0.8476524297299498,8.508999824523926,-5.409999847412109,297.63266666666624,281.32175000000007,285.34397099603245,297.5239660759872,281.4687568124359
314.48,2002,5,31,2,151,22,4,0,0,-0.6882458409935204,-0.4027015488708549,11.618000030517578,12.947999954223633,303.8983333333329,284.857,286.8007724462308,298.0326470937075,284.1096562674411
321.536,2002,6,30,2,181,26,6,0,0,-0.4778947835307115,-1.5707761850159199,7.056000232696533,-1.4529995918273926,312.95933333333295,289.09016666666673,288.5375338239192,298.73774768089623,287.1037637660458
313.567,2002,7,31,3,212,31,2,1,2,0.6117779981772756,0.5159761153182919,-7.968999862670898,-19.586999893188477,316.5276666666662,292.9118333333334,289.78900713272327,299.18262525046936,289.2208226647621
310.045,2002,8,31,3,243,35,5,1,2,1.0421469332264897,-0.9302988094696543,-3.5220000743865967,-10.57800006866455,315.0493333333329,296.0275000000001,290.8018067760871,299.50849649295526,290.8867568515812
318.8,2002,9,30,3,273,40,0,1,2,1.2477270939723646,1.2125949212161078,8.755000114440918,16.7239990234375,314.1373333333329,299.05433333333343,292.20171643728276,300.0872415981666,293.11981630345474
316.748,2002,10,31,4,304,44,3,1,2,2.3421707723972855,-0.011621145280507316,-2.052000045776367,1.4700000286102295,315.19766666666624,301.8398333333334,293.4290306154186,300.58706435022157,295.01007099917837
319.255,2002,11,30,4,334,48,5,1,2,2.5525218298600936,-1.1796957814255724,2.506999969482422,-6.248000144958496,318.2676666666662,305.4237500000001,294.7203290846477,301.14710241971494,296.9496653192441
333.3,2002,12,31,4,365,1,1,1,2,1.6508767901055608,1.3836287884509073,14.045000076293945,16.097000122070312,323.1009999999995,310.19941666666676,296.6493126304153,302.1116893471235,299.8576920937046
356.86400000000003,2003,1,31,1,31,5,4,0,0,-2.8169005544455854,-0.3452336246872549,23.56399917602539,21.05699920654297,336.4729999999995,316.4577500000001,299.66004699889453,303.7542586667098,304.41819672620824
359.575,2003,2,28,1,59,9,4,0,0,-3.0465852521555874,-0.9569076835465575,2.7109999656677246,-11.333999633789062,349.91299999999956,321.78208333333345,302.6557946489498,305.42888090670846,308.8307409881116
341.564,2003,3,31,1,90,14,0,0,0,-1.9901600632529204,1.495548597057748,-18.01099967956543,-41.57499694824219,352.66766666666626,325.71633333333347,304.60120491650224,306.5129344795072,311.44940170906267
328.208,2003,4,30,2,120,18,2,0,0,-1.3260099792712003,0.35361187301687214,-13.355999946594238,-16.066999435424805,343.1156666666663,327.8285000000001,305.7815446706771,307.16378644512196,312.79008957233765
